t_sec,hz,max_dt,recv
1761861035.583,199.383,0.005383,200
1761861036.583,199.997,0.005355,200
1761861037.583,200.004,0.005330,200
1761861038.583,200.000,0.005156,200
1761861039.583,199.999,0.005352,200
1761861040.583,200.001,0.005304,200
1761861041.583,199.999,0.005307,200
1761861042.583,200.000,0.005260,200
1761861043.583,200.000,0.005171,200
1761861044.583,200.000,0.005324,200
1761861045.583,200.000,0.005323,200
1761861046.583,199.999,0.005238,200
1761861047.583,200.001,0.005157,200
1761861048.583,200.001,0.005244,200
1761861049.583,200.000,0.005338,200
1761861050.583,200.000,0.005319,200
1761861051.583,200.000,0.005252,200
1761861052.583,200.000,0.005279,200
1761861053.583,199.997,0.005156,200
1761861054.583,200.002,0.005349,200
1761861055.583,199.999,0.005289,200
1761861056.583,200.001,0.005262,200
1761861057.583,200.000,0.005216,200
1761861058.583,200.000,0.005133,200
