t_sec,hz,max_dt,recv
1761861103.338,199.305,0.005540,200
1761861104.338,200.000,0.005446,200
1761861105.338,200.002,0.005414,200
1761861106.338,199.998,0.005618,200
1761861107.338,200.001,0.005348,200
1761861108.338,200.000,0.005599,200
1761861109.338,200.000,0.005473,200
1761861110.338,200.001,0.005557,200
1761861111.338,200.000,0.005442,200
1761861112.338,200.000,0.005537,200
1761861113.338,200.001,0.005574,200
1761861114.338,200.000,0.005562,200
1761861115.338,199.999,0.005376,200
1761861116.338,200.001,0.005465,200
1761861117.338,199.999,0.005467,200
1761861118.338,199.999,0.005448,200
1761861119.338,199.999,0.005316,200
1761861120.338,200.001,0.005597,200
1761861121.338,199.996,0.005322,200
1761861122.338,200.003,0.005301,200
1761861123.338,200.002,0.005598,200
1761861124.338,200.000,0.005484,200
1761861125.338,200.012,0.005347,200
1761861126.338,199.987,0.005525,200
